,state,county,fips,project_name,project_op_year,windmills_count,capacity,longitude,latitude
278,IA,Cass County,19029,Roseman Energy LLC,2017,1,1.79,-94.753922,41.373135
279,IA,Cass County,19029,Wiota Wind,2012,1,1.6,-94.876793,41.391495
280,IA,Cedar County,19031,Pioneer Grove,4024,2,6.0,-182.465386,83.705284
281,IA,Cerro Gordo County,19033,Cerro Gordo/Hawkeye Power/Clear Lake,107946,2970,2227.5,-5046.420009,2325.455326
282,IA,Cerro Gordo County,19033,Mason Wind LLC Mason City,10085,25,50.0,-465.91027799999995,215.571442
283,IA,Cerro Gordo County,19033,unknown Cerro Gordo County,-9999,1,-9999.0,-93.42819200000001,43.072491
284,IA,Cherokee County,19035,Storm Lake I,17991,1305,978.75,-858.646865,384.240653
285,IA,Cherokee County,19035,Storm Lake II,35982,1908,1431.0,-1717.2283109999998,770.8320530000001
286,IA,Cherokee County,19035,unknown Cherokee County,2015,1,-9999.0,-95.557167,42.769428000000005
287,IA,Clay County,19041,Cross Winds,2007,10,21.0,-94.92289,43.047492999999996
288,IA,Clay County,19041,unknown Clay County,32288,256,-159984.0,-1525.271264,689.835574
289,IA,Clinton County,19045,unknown Clinton County,2013,1,-9999.0,-90.316193,41.819992
290,IA,Crawford County,19047,New Harvest,100600,2500,5000.0,-4772.456212000002,2108.6173580000004
291,IA,Crawford County,19047,Victory,86258,2838,4540.799999999999,-4092.0712419999986,1811.8984909999995
292,IA,Dallas County,19049,Mason Wind LLC Perry,6051,9,18.0,-282.24047,125.458222
293,IA,Delaware County,19055,Elk,34187,289,722.5,-1553.3487679999998,724.1814529999999
294,IA,Delaware County,19055,Mason Wind LLC Dyersville,6051,9,18.0,-273.680709,127.469918
295,IA,Dickinson County,19059,Flying Cloud,58087,841,1261.5,-2763.6293570000003,1258.1597689999999
296,IA,Dickinson County,19059,Iowa Lakes Superior Wind,14063,49,73.5,-664.8637470000001,304.12174600000003
297,IA,Dickinson County,19059,Lost Lakes Wind Farm,122549,3721,6139.649999999995,-5811.931913999997,2643.9619959999995
298,IA,Dickinson County,19059,Spirit Lake,3993,4,2.0,-190.199676,86.822735
299,IA,Emmet County,19063,Iowa Lakes Community College,2005,1,1.65,-94.815689,43.385292
300,IA,Emmet County,19063,Neppel Wind Power Project,2004,1,1.5,-94.579018,43.401993
301,IA,Fayette County,19065,Hawkeye,30180,225,562.5,-1380.441887,643.9672869999999
302,IA,Fayette County,19065,Mason Wind LLC Fairbank,6051,9,18.0,-276.056992,127.94313
303,IA,Floyd County,19067,Charles City,100400,2500,3750.0,-4636.3203650000005,2151.583012
304,IA,Floyd County,19067,Tjaden Farms,2006,1,0.45,-92.62359599999999,43.156490000000005
305,IA,Franklin County,19069,Franklin County,120720,3600,5940.0,-5600.076620000002,2556.642698000001
306,IA,Franklin County,19069,Whispering Willow I,243089,14641,24157.650000000034,-11280.640334,5158.274938999997
307,IA,Greene County,19073,Beaver Creek,82697,3485,6970.0,-3861.8605199999997,1726.5509990000003
308,IA,Greene County,19073,Hardin-Hilltop,14049,49,102.9,-660.4541489999999,294.599049
309,IA,Greene County,19073,Junction Hilltop Wind,10060,25,40.0,-471.345162,210.49246499999998
310,IA,Greene County,19073,Rippey,40240,400,1000.0,-1884.1369470000004,839.883861
311,IA,Greene County,19073,unknown Greene County,121079,3660,-599940.0,-5655.342541,2527.0858829999993
312,IA,Grundy County,19075,Wellsburg,120840,3600,8445.60000000001,-5577.915905000001,2543.4033170000002
313,IA,Guthrie County,19077,Eclipse,126756,5481,12606.300000000014,-5963.832013,2618.0265499999996
314,IA,Guthrie County,19077,unknown Guthrie County 2,2013,1,-9999.0,-94.425591,41.703194
315,IA,Hamilton County,19079,AG Land 5,2012,1,1.6,-93.63209499999999,42.335491
316,IA,Hamilton County,19079,AG Land 6,2012,1,1.6,-93.63679499999999,42.335491
317,IA,Hamilton County,19079,Century,120300,6000,9000.0,-5619.730688000001,2552.272978
318,IA,Hamilton County,19079,Century Expansion,72183,1233,1237.0,-3371.9334330000006,1530.111424
319,IA,Hancock County,19081,Crystal Lake I,200800,10000,15000.0,-9385.358631000003,4319.5187860000015
320,IA,Hancock County,19081,Hancock County Wind Farm,296296,21904,14456.640000000029,-13865.001400000001,6365.768231999999
321,IA,Hardin County,19083,30 MW Iowa DG Portfolio,2017,10,30.0,-93.367798,42.49794
322,IA,Hardin County,19083,Eldora-New Providence Schools,2002,1,0.75,-93.115601,42.354755
323,IA,Hardin County,19083,Story II (aka Garden Wind),154693,7700,11550.0,-7192.597838000001,3253.1568179999995
324,IA,Henry County,19087,New London,2011,1,1.5,-91.395172,40.954772999999996
325,IA,Howard County,19089,Crane Creek,132594,4356,6534.0,-6104.006619000001,2864.7526659999994
326,IA,Howard County,19089,Pioneer Prairie I,82328,4920,8118.0,-3793.739501,1782.1963949999995
327,IA,Howard County,19089,Pioneer Prairie II,10044,191,315.15000000000003,-462.55103299999996,217.34758900000003
328,IA,Ida County,19093,Ida Grove,270144,14596,33470.84000000001,-12785.86006500001,5670.039651000004
329,IA,Jackson County,19097,unknown Jackson County 1,2013,1,-9999.0,-90.743996,42.043591
330,IA,Jasper County,19099,unknown Jasper County,2014,1,-9999.0,-92.99809300000001,41.658894000000004
331,IA,Johnson County,19103,unknown Johnson County 1,-9999,1,-9999.0,-91.557693,41.634392
332,IA,Kossuth County,19109,IDGWP,5994,9,6.75,-282.4225,129.104705
333,IA,Kossuth County,19109,Iowa Lakes Lakota Wind,14063,49,73.5,-658.950859,303.635208
334,IA,Kossuth County,19109,Sentral Community School,1995,1,0.065,-94.388489,43.21059
335,IA,Linn County,19113,Kirkwood Community College,2012,1,2.5,-91.650894,41.916592
336,IA,Linn County,19113,unknown Linn County,2013,1,-9999.0,-91.763191,41.889793
337,IA,Madison County,19121,Macksburg,102714,2601,6101.945999999998,-4801.024160000001,2101.4876500000005
338,IA,Mahaska County,19123,Prairie,165394,6724,13448.0,-7600.561126,3398.789026999999
339,IA,Mahaska County,19123,Prairie II,4036,4,8.0,-185.430901,82.94688
340,IA,Marshall County,19127,Laurel,104572,2704,6219.200000000004,-4835.156451,2178.3729690000005
341,IA,Marshall County,19127,Vienna,50300,1125,2643.75,-2319.8905280000004,1054.0130150000005
342,IA,Marshall County,19127,Vienna II,38247,361,848.3499999999997,-1763.8857430000003,801.0005560000001
343,IA,Mitchell County,19131,Little Cedar,2011,1,1.5,-92.760696,43.384392
344,IA,Mitchell County,19131,Osage Utilities,2009,1,1.5,-92.840591,43.292491999999996
345,IA,Mitchell County,19131,Pioneer Prairie I,166664,9960,16434.0,-7688.760335999998,3608.7114810000003
346,IA,Mitchell County,19131,Pioneer Prairie II,106462,1919,3166.3499999999976,-4912.556196999998,2303.566898
347,IA,Mitchell County,19131,Wind Vision,2008,1,0.9,-92.88879399999999,43.348091
348,IA,O'Brien County,19141,Highland I,425165,44521,104447.10999999968,-20168.98977300001,9085.264571999996
349,IA,O'Brien County,19141,Highland II,6045,9,21.12,-286.758636,129.19978
350,IA,O'Brien County,19141,O'Brien,203616,8177,19735.79399999997,-9655.632117000005,4363.137551999997
351,IA,O'Brien County,19141,unknown O'Brien County,6048,9,-29997.0,-286.72171000000003,129.55773499999998
352,IA,Osceola County,19143,Endeavor,80310,1000,2500.0,-3817.6731040000004,1738.0097050000002
353,IA,Osceola County,19143,Endeavor II,40160,400,1000.0,-1909.2475519999998,868.6677999999998
354,IA,Osceola County,19143,Sibley Hills,2003,1,0.66,-95.651093,43.404590999999996
355,IA,Osceola County,19143,Sibley Wind Farm,3994,4,2.4,-191.295731,86.815338
356,IA,Osceola County,19143,Zachary Ridge,4020,2,4.0,-191.3125,86.811912
357,IA,Palo Alto County,19147,Cross Winds,18063,90,189.0,-854.046631,387.627922
358,IA,Palo Alto County,19147,unknown Palo Alto County,2015,1,-9999.0,-94.766335,43.128941
359,IA,Plymouth County,19149,Akron-Westfield School District,1999,1,0.6,-96.541191,42.829890999999996
360,IA,Pocahontas County,19151,Pocahontas Prairie,80480,1600,3200.0,-3784.325965,1703.9177800000002
361,IA,Pocahontas County,19151,Pomeroy (expansion),10055,65,149.5,-473.904862,212.814758
362,IA,Pocahontas County,19151,Pomeroy I,164574,6724,10086.0,-7768.467392,3493.1587660000014
363,IA,Pocahontas County,19151,Pomeroy II,98343,2401,3601.5,-4642.584577,2086.889233
364,IA,Pocahontas County,19151,Pomeroy III,80320,1560,2340.0,-3791.222415000001,1704.3627339999994
365,IA,Polk County,19153,Iowa State Fair Wind Project,2007,1,0.66,-93.548897,41.595093
366,IA,Polk County,19153,unknown Polk County,4028,4,-19998.0,-187.285935,83.501026
367,IA,Pottawattamie County,19155,Walnut Wind Project,204816,10404,15606.0,-9713.400365999998,4228.8645579999975
368,IA,Pottawattamie County,19155,unknown Pottawattamie County,2013,1,-9999.0,-95.857811,41.290985
369,IA,Poweshiek County,19157,30 MW Iowa DG Portfolio,2017,10,30.0,-92.672089,41.742046
370,IA,Poweshiek County,19157,unknown Poweshiek County,60540,900,-299970.0,-2776.354589000001,1248.155813
371,IA,Sac County,19161,Intrepid,166332,8799,13198.5,-7910.483200000001,3527.723661
372,IA,Sac County,19161,Intrepid Expansion,18045,135,135.0,-858.179933,382.824539
373,IA,Sac County,19161,Wall Lake Municipal Utilities,2003,1,0.66,-95.094162,42.281982
374,IA,Scott County,19163,unknown Scott County,2013,1,-9999.0,-90.616096,41.622890000000005
375,IA,Story County,19169,30 MW Iowa DG Portfolio,14119,70,210.0,-654.7575459999999,293.84811500000006
376,IA,Story County,19169,AG Land 1,2012,1,1.6,-93.325691,42.20639
377,IA,Story County,19169,AG Land 2,2012,1,1.6,-93.428093,42.146091
378,IA,Story County,19169,AG Land 3,2012,1,1.6,-93.43199200000001,42.145592
379,IA,Story County,19169,AG Land 4,2012,1,1.6,-93.354897,41.904194
380,IA,Story County,19169,Clark Thompson 1,2009,1,0.9,-93.592392,42.208092
381,IA,Story County,19169,"GWE, LLC",4024,4,8.0,-186.957985,84.003384
382,IA,Story County,19169,Nevada High School,3987,4,0.8,-186.872986,84.04178200000001
383,IA,Story County,19169,Story City Wind,2011,1,1.5,-93.598991,42.207893
384,IA,Story County,19169,Story County,200800,10000,15000.0,-9328.658131000004,4210.519407000001
385,IA,Story County,19169,Story County Medical Center,1995,1,0.225,-93.45079,42.007492
386,IA,Story County,19169,Story II (aka Garden Wind),46207,2300,3450.0,-2146.5659650000002,970.3682069999998
387,IA,Tama County,19171,Traer Wind,2011,1,1.5,-92.442696,42.161293
388,IA,Tama County,19171,Vienna,40240,900,2115.0,-1854.2969729999998,843.179441
389,IA,Taylor County,19173,August Wind Energy LLC,2017,1,1.79,-94.47563199999999,40.764946
390,IA,Taylor County,19173,Birch Power LLC,2017,1,1.79,-94.474396,40.767693
391,IA,Taylor County,19173,Lenox Municipal Utilities,2003,1,0.75,-94.538094,40.896694000000004
392,IA,Webster County,19187,Lundgren,215498,11449,26859.35400000006,-10077.771137999996,4530.153464000001
393,IA,Winnebago County,19189,Crystal Lake II,160643,5864,14660.0,-7503.326698000002,3464.0394340000003
394,IA,Winnebago County,19189,Crystal Lake III,88396,1936,2904.0,-4131.193732000001,1907.1867729999997
395,IA,Winnebago County,19189,Forest City High School,1999,1,0.6,-93.65379300000001,43.266293
396,IA,Winnebago County,19189,Winnebago I,20080,100,200.0,-937.705428,433.172164
397,IA,Winneshiek County,19191,Luther College,2011,1,1.6,-91.817696,43.309093
398,IA,Worth County,19195,Barton,160720,6400,12800.0,-7447.009224000001,3471.4632650000003
399,IA,Worth County,19195,Roeder Farms,2011,1,1.6,-93.28319499999999,43.297290999999994
400,IA,Worth County,19195,Top of Iowa,178089,7921,7128.900000000011,-8313.617310999998,3859.4746339999992
401,IA,Worth County,19195,Top of Iowa II,80320,1600,3200.0,-3732.704495,1734.1513099999997
402,IA,Worth County,19195,Top of Iowa III,36144,324,534.5999999999999,-1679.172158,780.4606019999999
403,IA,Worth County,19195,Wind Walkers,2011,1,1.6,-93.221489,43.384693
404,IA,Wright County,19197,Century,80200,4000,6000.0,-3746.4670940000005,1702.9078390000002
405,IA,Wright County,19197,Century Expansion,18070,60,90.0,-842.606842,383.092013
406,ID,Bingham County,16011,Wolverine Creek,30075,645,967.5,-1677.8258210000001,650.28331
407,ID,Bonneville County,16019,Goshen North,166830,6889,10333.5,-9282.846628000003,3607.8998059999994
408,ID,Bonneville County,16019,Horse Butte,64384,1024,1843.199999999999,-3575.6625209999993,1388.9547080000002
409,ID,Bonneville County,16019,Meadow Creek,114684,3249,6822.899999999993,-6373.421325,2482.4120750000006
410,ID,Bonneville County,16019,Wolverine Creek,56140,1204,1806.0,-3131.4344810000002,1215.2345260000002
411,ID,Cassia County,16031,Burley Butte,26143,169,253.5,-1480.9968489999999,552.35942
412,ID,Cassia County,16031,Golden Valley,16088,64,96.0,-911.326714,339.507854
413,ID,Cassia County,16031,Milner Dam,26143,169,253.5,-1482.245543,551.98573
414,ID,Elmore County,16039,Camp Reed,30150,225,337.5,-1725.866625,642.243012
415,ID,Elmore County,16039,Cold Springs,120720,3600,8280.0,-6926.492828999998,2582.0098260000004
416,ID,Elmore County,16039,High Mesa,22132,209,438.8999999999999,-1265.494848,471.826631
417,ID,Elmore County,16039,Mountain Home,40180,400,840.0,-2309.4714350000004,860.8137849999999
418,ID,Elmore County,16039,Sawtooth,28154,196,313.59999999999997,-1615.5204170000002,601.7464190000001
419,ID,Power County,16077,Power County,36198,324,810.0,-2029.621275,769.0108010000001
420,ID,Power County,16077,Rockland,88484,1936,3484.7999999999975,-4968.344574,1878.260642
421,ID,Twin Falls County,16083,Cassia,28126,196,411.5999999999999,-1610.3396380000004,600.111322
422,ID,Twin Falls County,16083,Fossil Gulch,14035,49,73.5,-804.6470950000003,300.012858
423,ID,Twin Falls County,16083,High Mesa,16096,152,319.2,-920.2687199999998,343.12015499999995
424,ID,Twin Falls County,16083,Oregon Trail,18099,81,121.5,-1034.9126909999998,385.550944
425,ID,Twin Falls County,16083,Payne's Ferry,28140,196,294.0,-1610.135504,599.54702
426,ID,Twin Falls County,16083,Pilgrim Stage Station,14077,49,73.5,-805.0001980000001,299.536853
427,ID,Twin Falls County,16083,Salmon Falls,28154,196,294.0,-1609.9847699999998,597.659615
428,ID,Twin Falls County,16083,Thousand Springs,16088,64,96.0,-919.7344400000001,343.05392299999994
429,ID,Twin Falls County,16083,Tuana Gulch,14077,49,73.5,-804.784988,299.858356
430,ID,Twin Falls County,16083,Tuana Springs,16080,64,134.4,-920.1372150000001,343.14595800000006
431,ID,Twin Falls County,16083,Yahoo Creek,28140,196,294.0,-1609.979705,598.684926
432,IL,Adams County,17001,Pigeon Creek,2009,1,0.9,-91.192268,39.833282000000004
433,IL,Brown County,17009,Brown County Wind Turbine,2011,1,1.5,-90.699394,39.973492
434,IL,Bureau County,17011,Agriwind,8032,16,33.6,-358.476378,165.203271
435,IL,Bureau County,17011,Big Sky Wind,112616,6384,13406.399999999987,-5009.872366,2327.7173259999995
436,IL,Bureau County,17011,Bureau Valley School District,2004,1,0.66,-89.67819200000001,41.453392
437,IL,Bureau County,17011,Crescent Ridge I,66165,1089,1796.850000000001,-2955.930983,1361.0098659999996
438,IL,Bureau County,17011,Providence Heights,72288,1296,2592.0,-3225.084902,1484.3604180000002
439,IL,Bureau County,17011,unknown Bureau County,52468,676,-259974.0,-2330.043832,1078.238889
440,IL,Champaign County,17019,California Ridge,60360,4020,6512.399999999999,-2639.3111180000005,1207.3401540000002
441,IL,Champaign County,17019,MUTI,2010,1,0.1,-88.29142,40.1502
442,IL,Champaign County,17019,unknown Champaign County,2016,1,-9999.0,-88.244324,40.088814
443,IL,Coles County,17029,Arends Brothers,2009,1,0.1,-88.02977,39.531310999999995
444,IL,Coles County,17029,LLC 1,2011,1,-9999.0,-88.387367,39.417534
445,IL,Coles County,17029,LLC 2,4024,4,0.4,-176.773362,78.836563
446,IL,Cook County,17031,Big Windy,2009,1,0.10800000000000001,-87.865189,41.955463
447,IL,Cook County,17031,Method Manufacturing Plant,2015,1,0.6,-87.601456,41.698063
448,IL,Cook County,17031,Testa Produce,2011,1,0.75,-87.653992,41.810691999999996
449,IL,DeKalb County,17037,Lee/DeKalb,253134,18270,27405.0,-11198.006334000002,5269.085568000001
450,IL,Ford County,17053,Kelly Creek,133056,6072,12144.0,-5820.448111999999,2703.695734000001
451,IL,Ford County,17053,Pioneer Trail,154847,7238,11580.799999999985,-6776.740321000002,3115.5507680000005
452,IL,Grundy County,17063,Blackstone (Top Crop) II,265320,17424,26136.0,-11687.106016999995,5433.436151000003
453,IL,Henry County,17073,Bishop Hill I,267596,6057,9673.619999999999,-11990.022075000003,5479.2379710000005
454,IL,Henry County,17073,Bishop Hill II,100600,2500,4050.0,-4507.384397999999,2061.7082450000003
455,IL,Henry County,17073,Bishop Hill III,106954,2707,6766.7,-4785.223723,2183.9240200000004
456,IL,Henry County,17073,Geneseo Wind Farm,4018,4,6.0,-180.30934100000002,82.852272
457,IL,Iroquois County,17075,Pilot Hill,84630,4326,7354.200000000005,-3699.4560079999997,1721.2692490000002
458,IL,Iroquois County,17075,Pioneer Trail,34187,1598,2556.8000000000006,-1496.643188,688.435363
459,IL,Iroquois County,17075,Settler's Trail,189034,8836,14137.599999999979,-8232.443372000002,3827.983745999997
460,IL,Kankakee County,17091,Kelly Creek,52416,2392,4784.0,-2293.3044119999995,1066.2547410000002
461,IL,Kankakee County,17091,MUTI Wind Turbine,2010,1,0.1,-87.851395,41.09539
462,IL,Kankakee County,17091,Pilot Hill,122915,6283,10681.100000000011,-5369.775361,2502.043395000001
463,IL,LaSalle County,17099,Blackstone (Top Crop),136612,4624,6936.0,-6025.822831000002,2797.2032789999994
464,IL,LaSalle County,17099,GSG Wind Farm,42147,840,1680.0,-1871.3599769999998,874.005832
465,IL,LaSalle County,17099,Grand Ridge,130520,4290,6435.0,-5765.316122999998,2679.8269510000005
466,IL,LaSalle County,17099,Grand Ridge II,82369,1394,2091.0,-3636.4209100000007,1688.7934209999994
467,IL,LaSalle County,17099,Grand Ridge III/IV,66297,1320,1980.0,-2928.2447140000004,1358.6362290000002
468,IL,Lee County,17103,Big Sky Wind,116638,6612,13885.199999999986,-5184.171973000001,2413.2606379999997
469,IL,Lee County,17103,GSG Wind Farm,38133,760,1520.0,-1694.625583,791.5408510000001
470,IL,Lee County,17103,Lee/DeKalb,38171,2755,4132.5,-1690.368042,793.6486270000001
471,IL,Lee County,17103,Mendota Hills,6009,189,151.2,-267.12673200000006,125.16842700000001
472,IL,Lee County,17103,Shady Oaks,142852,4633,6958.5,-6325.620247000002,2958.223866000001
473,IL,Lee County,17103,Sustainable Technologies Museum (Turbine A,2007,1,2.5,-89.24969499999999,41.660294
474,IL,Lee County,17103,Turbine EVE,2012,1,2.5,-89.245003,41.637596
475,IL,Livingston County,17105,Cayuga Ridge,301500,22500,45000.0,-13265.663282999998,6146.22758
476,IL,Livingston County,17105,Minonk,50300,2500,5000.0,-2222.802476,1021.4693980000002
477,IL,Logan County,17107,Rail Splitter,58261,1943,2914.5,-2592.576811,1168.7800060000002
478,IL,Macon County,17115,Radford's Run,280363,19321,42506.20000000003,-12376.143934000002,5560.038641000002
479,IL,Macon County,17115,Richland Community College,2009,1,0.1,-88.895363,39.88662
480,IL,Marshall County,17123,Camp Grove,120420,6000,9000.0,-5375.655233999998,2463.396282
481,IL,McHenry County,17111,Other World Computing,2009,1,0.5,-88.417328,42.28112
482,IL,McLean County,17113,Heartland Community College,2012,1,1.65,-89.01879100000001,40.536694
483,IL,McLean County,17113,Twin Groves I,242847,14520,23958.0,-10732.014185000002,4894.365704000002
484,IL,McLean County,17113,Twin Groves II,238856,9936,16394.40000000002,-10540.485367000001,4813.765716999999
485,IL,McLean County,17113,White Oak,201100,10000,15000.0,-8906.508888999999,4058.660744
486,IL,Menard County,17129,Porta High School,2009,1,0.6,-89.863617,40.016723999999996
487,IL,Montgomery County,17135,GobNob,2009,1,0.9,-89.62859300000001,39.438492
488,IL,Ogle County,17141,Eswood School,2012,1,0.225,-89.03319499999999,42.056793
489,IL,Pike County,17149,Illinois Rural Electric Cooperative,2005,1,1.65,-90.846191,39.618793
490,IL,Rock Island County,17161,Sherrard High School,2009,1,0.66,-90.52822900000001,41.344524
491,IL,Stark County,17175,Camp Grove,80280,4000,6000.0,-3586.660683000001,1644.3206850000001
492,IL,Stephenson County,17177,EcoGrove,134603,4489,6733.5,-6022.1533580000005,2844.5744680000003
493,IL,Tazewell County,17179,Green Mountain Power,1997,11,6.05,-89.406273,40.355049
494,IL,Tazewell County,17179,Rail Splitter,74333,2479,3718.5,-3308.8632729999995,1493.1722339999994
495,IL,Vermilion County,17183,California Ridge,209248,13936,22576.320000000047,-9138.454317,4181.996408999999
496,IL,Vermilion County,17183,Hoopeston Wind,98735,2401,4802.0,-4301.055717,1979.325528
497,IL,Whiteside County,17195,Erie Community School District 1,2008,1,1.2,-90.079185,41.647644
498,IL,Woodford County,17203,Minonk,150900,7500,15000.0,-6672.186370999999,3065.7529050000003
499,IN,Benton County,18007,Amazon Wind Farm (Fowler Ridge),130975,4225,9717.5,-5679.550629000003,2641.4056270000005
500,IN,Benton County,18007,Benton County Wind Farm,28112,1218,1827.0,-1224.404096,569.508244
501,IN,Benton County,18007,Combine Hills I,2003,41,41.0,-87.498962,40.695568
502,IN,Benton County,18007,Fowler Ridge I,445998,34014,57653.10000000017,-19378.569044999982,9011.313722000003
503,IN,Benton County,18007,Fowler Ridge II,267197,17689,26533.5,-11630.617860999999,5394.565113999996
504,IN,Benton County,18007,Goodland I,142568,6177,9265.5,-6211.442763000002,2889.1373229999995
505,IN,Benton County,18007,Hoosier,106477,2809,5618.0,-4623.192979000001,2157.7874779999993
506,IN,Benton County,18007,Rosiere Wind Farm,1999,17,11.22,-87.478798,40.674393
507,IN,Benton County,18007,unknown Benton County,6054,9,-29997.0,-261.324554,121.96900899999999
508,IN,Henry County,18065,Shenandoah School Corporation,2013,1,0.9,-85.523666,40.010242
509,IN,Howard County,18067,Northwestern School Corporation,2012,1,0.9,-86.204498,40.523193
510,IN,Jay County,18075,Bluff Point,82697,2337,4907.699999999996,-3482.767495,1653.5653520000003
511,IN,Kosciusko County,18085,Tippecanoe Valley School Corporation,2011,1,0.9,-86.04409799999999,41.110991999999996
512,IN,Madison County,18095,Wildcat I,112672,7000,11200.0,-4806.136913000002,2258.434645
513,IN,Marion County,18097,Time Factory Wind,2008,1,0.05,-86.236496,39.871094
514,IN,Newton County,18111,North Newton School Corporation,2012,1,0.9,-87.42627,41.032585
515,IN,Newton County,18111,unknown Newton County,-9999,1,-9999.0,-87.437996,40.761993
516,IN,Pulaski County,18131,West Central School Corporation,2012,1,0.9,-86.885483,41.027817
517,IN,Randolph County,18135,Bluff Point,30255,855,1795.5000000000005,-1274.269507,604.5172999999999
518,IN,Randolph County,18135,Headwaters,201400,10000,20000.0,-8501.431064,4008.4298429999985
519,IN,Randolph County,18135,Randolph Eastern School Corporation,2010,1,1.0,-84.82208299999999,40.210266
520,IN,Randolph County,18135,The City of Union City,2010,1,1.0,-84.817192,40.190692999999996
521,IN,Randolph County,18135,Winchester,2014,1,0.85,-84.977432,40.189621
522,IN,Tipton County,18159,Wildcat I,138828,8625,13800.0,-5926.868346000001,2784.06994
523,IN,White County,18181,Meadow Lake,247107,14883,24556.950000000037,-10693.175603000002,4998.362227
524,IN,White County,18181,Meadow Lake II,138690,4554,6831.0,-6005.366107000001,2804.4474980000005
525,IN,White County,18181,Meadow Lake III,126630,4347,6520.5,-5482.134879,2557.8194310000003
526,IN,White County,18181,Meadow Lake IV,96480,2256,4737.599999999996,-4177.762347000001,1952.4340450000002
527,IN,White County,18181,Meadow Lake V,100850,2500,5000.0,-4351.335151000001,2036.1857099999995
528,KS,Barber County,20007,Flat Ridge 2,92552,12052,19283.200000000015,-4525.717833000001,1718.624437
529,KS,Barber County,20007,Flat Ridge 2 Expansion,12072,192,307.2,-590.1795350000001,224.26150500000003
530,KS,Barber County,20007,Flat Ridge Wind Farm,80360,1600,4000.0,-3939.251503,1494.9190099999998
531,KS,Butler County,20015,El Dorado Wind Power,2012,1,1.0,-96.851089,37.796993
532,KS,Butler County,20015,Elk River,200500,10000,15000.0,-9655.169466999998,3757.968207000001
533,KS,Clark County,20025,Bloom,20170,540,1782.0000000000002,-999.280235,374.64568
534,KS,Clark County,20025,Cimarron Bend I,197568,9800,19600.0,-9788.872726999998,3662.339866
535,KS,Clark County,20025,Cimarron Bend II,201700,10000,20000.0,-10000.878649999995,3736.550616
536,KS,Clark County,20025,unknown Clark County,14113,56,-69993.0,-699.1323020000001,261.61343
537,KS,Cloud County,20029,Cloud County Community College,4020,4,0.4,-195.32808599999998,79.097183
538,KS,Cloud County,20029,Cloud Power,2010,1,0.35,-97.664314,39.54911
539,KS,Cloud County,20029,Meridian Way,70280,1225,3675.0,-3414.204421000001,1379.6210640000002
540,KS,Cloud County,20029,Meridian Way II,64256,1024,3072.0,-3127.8146519999996,1261.5566729999998
541,KS,Coffey County,20031,Waverly,191425,8125,17060.0,-9081.275319999999,3643.3720829999993
542,KS,Doniphan County,20043,unknown Doniphan County,2014,1,-9999.0,-94.942856,39.783024
543,KS,Elk County,20049,Caney River,223221,12321,22177.799999999956,-10704.18512,4154.463115
544,KS,Ellis County,20051,Buckeye,225680,12544,22400.0,-11138.418836,4367.62582
545,KS,Ellis County,20051,FHSU Wind,2013,1,4.0,-99.405693,38.873894
546,KS,Ellis County,20051,Fort Hays State University,4026,4,8.0,-198.808968,77.75068300000001
547,KS,Ellsworth County,20053,Post Rock,197176,13132,19698.0,-9636.167922000004,3805.201208
548,KS,Ellsworth County,20053,Smoky Hills II,52208,2574,3861.0,-2554.1289899999997,1010.3996230000002
549,KS,Ford County,20057,Bloom,88748,2376,7840.799999999995,-4398.316947,1649.8083479999996
550,KS,Ford County,20057,Ironwood I,146876,5329,12256.699999999984,-7282.646409999999,2760.4415750000003
551,KS,Ford County,20057,Leaning Juniper,2006,67,100.5,-99.765419,37.887753000000004
552,KS,Ford County,20057,Spearville,132396,4422,6633.0,-6584.140522999999,2499.6982089999997
553,KS,Ford County,20057,Spearville 3,126756,3969,6350.400000000007,-6290.313137,2383.963018000001
554,KS,Ford County,20057,Spearville I,2006,67,100.5,-99.707291,37.875694
555,KS,Ford County,20057,Spearville II,62310,992,1488.0,-3091.0506350000005,1174.037814
556,KS,Ford County,20057,Western Plains,246074,14884,34233.199999999924,-12156.803531,4619.508082
557,KS,Ford County,20057,unknown Ford County,2013,1,-9999.0,-99.984909,37.760006
558,KS,Grant County,20067,Buffalo Dunes,122793,8235,15234.75,-6169.771499,2295.6642850000003
559,KS,Gray County,20069,Cimarron I,144864,5184,11923.200000000015,-7219.723844,2726.825033
560,KS,Gray County,20069,Cimarron II,114684,3249,7472.700000000007,-5721.803047000001,2160.2172490000003
561,KS,Gray County,20069,Ensign,86516,1537,3535.0999999999976,-4312.049906999998,1617.3411329999997
562,KS,Gray County,20069,Gray County Wind Farm Montezuma),340170,28900,19074.000000000062,-17065.087433,6393.742896999997
563,KS,Greeley County,20071,unknown Greeley County,2012,1,-9999.0,-101.75359300000001,38.392796000000004
564,KS,Harper County,20077,Flat Ridge 2,301800,39300,62879.99999999983,-14735.41623,5604.37382
565,KS,Harper County,20077,Flat Ridge 2 Expansion,52312,832,1331.2000000000005,-2553.1939090000005,971.064232
566,KS,Harvey County,20079,unknown Harvey County,2013,1,-9999.0,-97.280396,38.030891
567,KS,Haskell County,20081,Buffalo Dunes,148962,9990,18481.5,-7477.356720999999,2785.403030999998
568,KS,Kingman County,20095,Flat Ridge 2,130780,17030,27248.00000000003,-6382.81177,2430.8738240000002
